行號,章節,寫法,原文,分子,分母,取自,問卷題目,分母是誰,信賴度
36,開頭四個發現,裸數字（人數）,5 人,5,,計數（分母寫在同段落的其他數字裡）,下面哪一句，最貼近你在公民科技圈子做的事？,曾參與者依參與深度分成五組的組別人數（接收資訊 5、主動通報 6）,
36,開頭四個發現,裸數字（人數）,6 人,6,,計數（分母寫在同段落的其他數字裡）,下面哪一句，最貼近你在公民科技圈子做的事？,曾參與者依參與深度分成五組的組別人數（接收資訊 5、主動通報 6）,
44,開頭四個發現,寫明分母,40%（19/47）,19,47,動機組合有變動,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47 逐人配對比較,L2
44,開頭四個發現,裸數字（人數）,17 人,17,,計數（分母寫在同段落的其他數字裡）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47 逐人配對比較,
44,開頭四個發現,裸數字（人數）,9 人,9,,計數（分母寫在同段落的其他數字裡）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47 逐人配對比較,
50,開頭四個發現,寫明分母,65%（83/127）,83,127,全體／至少用到一個官方管道,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體；以人去重,L2
50,開頭四個發現,寫明分母,23%（29/127）,29,127,全體／只靠親友推薦，沒有任何官方管道,你現在主要透過哪些管道，得知 g0v 的活動消息？,全體；以人去重；互斥四分組相加＝分母,L2
52,開頭四個發現,寫明分母,62%（16/26）,16,26,不知道有哪些專案或議題,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
52,開頭四個發現,寫明分母,54%（14/26）,14,26,身邊沒有人帶，怕自己融不進去、或幫不上忙,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
52,開頭四個發現,寫明分母,50%（13/26）,13,26,不知道怎麼加入、找不到入口,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
52,開頭四個發現,寫明分母,35%（9/26）,9,26,覺得要會寫程式、技術門檻太高,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,L1（僅供參考）
52,開頭四個發現,裸數字（其他量詞）,3 個,,,計數或題目設計說明,你聽過或看過公民科技，但還沒真正參與，最主要的原因是什麼？（請最多選 3 個原因）,從未接觸層 N=26，最多選 3（此題未問「接觸未參與」層）,
56,開頭四個發現,裸數字（人數）,27 人,27,,樣本數陳述,「你曾經為公民科技專案提供經費方面的支持嗎」答有的人,曾出資者 27 人,
60,開頭四個發現,裸數字（人數）,27 人,27,,樣本數陳述,「你曾經為公民科技專案提供經費方面的支持嗎」答有的人,曾出資者 27 人,
60,開頭四個發現,裸數字（人數）,26 人,26,,樣本數陳述,「為什麼還沒參與」只問這一層,從未接觸層 26 人,
62,開頭四個發現,寫明分母,59%（16/27）,16,27,它要解決的問題夠重要、而且講得夠清楚,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
62,開頭四個發現,寫明分母,52%（14/27）,14,27,呼應我自己關心的議題,你在決定要不要支持一個專案時，最看重哪些？請最多選 3 個因素,曾出資者 N=27,L1（僅供參考）
62,開頭四個發現,寫明分母,52%（14/27）,14,27,還在很早期、只有想法的,以你的觀察，最難找到資源的，是處在哪個階段的專案？,曾出資者 N=27,L1（僅供參考）
62,開頭四個發現,寫明分母,37%（10/27）,10,27,已經上線、要長期維運的,以你的觀察，最難找到資源的，是處在哪個階段的專案？,曾出資者 N=27,L1（僅供參考）
62,開頭四個發現,寫明分母,11%（3/27）,3,27,已經做出原型、要往落地走的,以你的觀察，最難找到資源的，是處在哪個階段的專案？,曾出資者 N=27,L1（僅供參考）
72,第 1 章,裸數字（人數）,127 份,127,,樣本數陳述,有效回收份數,全體填答者 127 人,
72,第 1 章,裸數字（人數）,26 人,26,,樣本數陳述,「為什麼還沒參與」只問這一層,從未接觸層 26 人,
72,第 1 章,裸數字（人數）,54 人,54,,樣本數陳述,入坑分層之一,接觸過但還沒做過專案的 54 人,
72,第 1 章,裸數字（人數）,47 人,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
72,第 1 章,裸數字（人數）,47 人,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
74,第 1 章,寫明分母,35%（45/127）,45,127,31 到 40 歲,你的年齡？,全體 N=127,L2
74,第 1 章,寫明分母,29%（37/127）,37,127,41 到 50 歲,你的年齡？,全體 N=127,L2
74,第 1 章,寫明分母,5.5%（7/127）,7,127,20 歲以下,你的年齡？,全體 N=127,L2
74,第 1 章,寫明分母,50%（64/127）,64,127,男,你的性別？,全體 N=127,L2
74,第 1 章,寫明分母,41%（52/127）,52,127,女,你的性別？,全體 N=127,L2
74,第 1 章,寫明分母,9%（11/127）,11,127,其他，或不願透露,你的性別？,全體 N=127,L2
74,第 1 章,裸數字（人數）,127 人,127,,樣本數陳述,有效回收份數,全體填答者 127 人,
76,第 1 章,寫明分母,20%（25/127）,25,127,非營利組織,你目前主要的身分或工作場域是？,全體 N=127,L2
76,第 1 章,寫明分母,16%（20/127）,20,127,學校、研究機構,你目前主要的身分或工作場域是？,全體 N=127,L2
76,第 1 章,寫明分母,16%（20/127）,20,127,企業、新創,你目前主要的身分或工作場域是？,全體 N=127,L2
76,第 1 章,寫明分母,13%（17/127）,17,127,學生,你目前主要的身分或工作場域是？,全體 N=127,L2
76,第 1 章,寫明分母,8%（10/127）,10,127,政府機構、公部門法人,你目前主要的身分或工作場域是？,全體 N=127,L2
76,第 1 章,寫明分母,27%（15/55）,15,55,非營利組織與協會,可以多分享一點你所屬的組織或團體嗎？,全體中有填答此開放題者（人工歸類）,L3
76,第 1 章,寫明分母,25%（14/55）,14,55,學術與研究機構,可以多分享一點你所屬的組織或團體嗎？,全體中有填答此開放題者（人工歸類）,L3
76,第 1 章,寫明分母,22%（12/55）,12,55,企業與新創,可以多分享一點你所屬的組織或團體嗎？,全體中有填答此開放題者（人工歸類）,L3
76,第 1 章,裸數字（人數）,55 人,55,,樣本數陳述,「可以多分享一點你所屬的組織或團體嗎」選填,填答所屬組織開放題的 55 人,
78,第 1 章,寫明分母,62%（79/127）,79,127,雙北（台北市或新北市）,你目前居住在哪個區域？,全體 N=127；people_count 去重，非票數相加,L2
80,第 1 章,裸數字（人數）,63 人,63,,樣本數陳述,「除了居住地，你還跟哪些地區有比較深的連結」選填,填答地區連結開放題的 63 人,
80,第 1 章,裸數字（人數）,34 人,34,,計數（分母寫在同段落的其他數字裡）,除了居住地，你還跟哪些地區有比較深的連結？,填答此開放題的 63 人；「20 人」「8 人」的分母是住雙北的 79 人，不是 63,
80,第 1 章,裸數字（人數）,14 人,14,,計數（分母寫在同段落的其他數字裡）,除了居住地，你還跟哪些地區有比較深的連結？,填答此開放題的 63 人；「20 人」「8 人」的分母是住雙北的 79 人，不是 63,
80,第 1 章,裸數字（人數）,79 人,79,,樣本數陳述,居住地題的台北市或新北市，以人去重,居住在雙北的 79 人,
80,第 1 章,裸數字（人數）,20 人,20,,計數（分母寫在同段落的其他數字裡）,除了居住地，你還跟哪些地區有比較深的連結？,填答此開放題的 63 人；「20 人」「8 人」的分母是住雙北的 79 人，不是 63,
80,第 1 章,裸數字（人數）,8 人,8,,計數（分母寫在同段落的其他數字裡）,除了居住地，你還跟哪些地區有比較深的連結？,填答此開放題的 63 人；「20 人」「8 人」的分母是住雙北的 79 人，不是 63,
84,第 1 章,寫明分母,47%（60/127）,60,127,全體／從未參加過任何 g0v 活動,你最近一次參加 g0v.tw 的活動，是什麼時候？,全體；全數作答，無分支,L2
84,第 1 章,寫明分母,28%（13/47）,13,47,曾參與／從未參加過任何 g0v 活動,你最近一次參加 g0v.tw 的活動，是什麼時候？,曾參與；全數作答，無分支,L2
84,第 1 章,寫明分母,59%（75/127）,75,127,非營利組織（例如：開放文化基金會、地球公民基金會）,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
84,第 1 章,寫明分母,54%（68/127）,68,127,開源社群（例如：COSCUP、SITCON、g0v）,整體來說，你主要透過哪些管道吸收公民科技的資訊？,全體，複選,L2
84,第 1 章,裸數字（人數）,47 位,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
86,第 2 章,裸數字（人數）,10 個人,10,,計數（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101；角色廣度＝一個人勾了幾種角色,
90,第 2 章,寫明分母,89%（90/101）,90,101,使用過某個公民科技工具、服務，或參與討論的人,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101，複選,L3
90,第 2 章,寫明分母,48%（48/101）,48,101,協助落地應用，或推廣給更多使用者的人,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101，複選,L3
90,第 2 章,寫明分母,33%（33/101）,33,101,參與籌備、開發、設計或維護的人,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101，複選,L3
90,第 2 章,寫明分母,28%（28/101）,28,101,發起專案的人,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101，複選,L3
90,第 2 章,寫明分母,17%（17/101）,17,101,出錢或調度資源的人,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101，複選,L3
90,第 2 章,裸數字（人數）,101 位,101,,樣本數陳述,角色、參與深度等題只問接觸過公民科技的人,曾接觸者 101 人,
92,第 2 章,裸數字（百分比）,82%,,,比例（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？,勾了「發起專案的人」的 28 人，不是 101,
94,第 2 章,裸數字（人數）,46 人,46,,計數（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101；角色廣度＝一個人勾了幾種角色,
94,第 2 章,裸數字（人數）,10 人,10,,計數（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101；角色廣度＝一個人勾了幾種角色,
94,第 2 章,裸數字（百分比）,46%,,,比例（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101；角色廣度＝一個人勾了幾種角色,
94,第 2 章,裸數字（百分比）,10%,,,比例（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？,曾接觸者 N=101；角色廣度＝一個人勾了幾種角色,
96,第 2 章,裸數字（人數）,46 位,46,,計數（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？ × 下面哪一句，最貼近你在公民科技圈子做的事？,只勾一種角色的 46 人，不是 101（「30 位」出自參與深度題，分母同為這 46 人）,
96,第 2 章,裸數字（人數）,42 位,42,,計數（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？ × 下面哪一句，最貼近你在公民科技圈子做的事？,只勾一種角色的 46 人，不是 101（「30 位」出自參與深度題，分母同為這 46 人）,
96,第 2 章,裸數字（人數）,46 人,46,,計數（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？ × 下面哪一句，最貼近你在公民科技圈子做的事？,只勾一種角色的 46 人，不是 101（「30 位」出自參與深度題，分母同為這 46 人）,
96,第 2 章,裸數字（人數）,30 位,30,,計數（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？ × 下面哪一句，最貼近你在公民科技圈子做的事？,只勾一種角色的 46 人，不是 101（「30 位」出自參與深度題，分母同為這 46 人）,
98,第 2 章,裸數字（人數）,38 人,38,,計數（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？,「38 人」的分母是曾接觸者 101；「7 人」與「18%」的分母是那 38 人，不是 101,
98,第 2 章,裸數字（人數）,7 人,7,,計數（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？,「38 人」的分母是曾接觸者 101；「7 人」與「18%」的分母是那 38 人，不是 101,
98,第 2 章,裸數字（百分比）,18%,,,比例（分母寫在同段落的其他數字裡）,你曾經在公民科技專案裡，擔任過哪些角色？,「38 人」的分母是曾接觸者 101；「7 人」與「18%」的分母是那 38 人，不是 101,
102,第 2 章,寫明分母,13%（13/101）,13,101,主動通報,下面哪一句，最貼近你在公民科技圈子做的事？,曾接觸者 N=101（從未接觸層未被問到這些題）,L3
102,第 2 章,寫明分母,11%（11/101）,11,101,協力參與,下面哪一句，最貼近你在公民科技圈子做的事？,曾接觸者 N=101（從未接觸層未被問到這些題）,L3
102,第 2 章,寫明分母,20%（20/101）,20,101,共創解法,下面哪一句，最貼近你在公民科技圈子做的事？,曾接觸者 N=101（從未接觸層未被問到這些題）,L3
102,第 2 章,寫明分母,10%（10/101）,10,101,發起專案,下面哪一句，最貼近你在公民科技圈子做的事？,曾接觸者 N=101（從未接觸層未被問到這些題）,L3
102,第 2 章,裸數字（人數）,6 人,6,,計數（分母寫在同段落的其他數字裡）,下面哪一句，最貼近你在公民科技圈子做的事？,曾接觸者 N=101（從未接觸層未被問到這些題）,
102,第 2 章,裸數字（人數）,101 人,101,,樣本數陳述,角色、參與深度等題只問接觸過公民科技的人,曾接觸者 101 人,
102,第 2 章,裸數字（人數）,20 人,20,,計數（分母寫在同段落的其他數字裡）,下面哪一句，最貼近你在公民科技圈子做的事？,曾接觸者 N=101（從未接觸層未被問到這些題）,
102,第 2 章,裸數字（人數）,11 人,11,,計數（分母寫在同段落的其他數字裡）,下面哪一句，最貼近你在公民科技圈子做的事？,曾接觸者 N=101（從未接觸層未被問到這些題）,
102,第 2 章,裸數字（百分比）,41%,,,比例（分母寫在同段落的其他數字裡）,下面哪一句，最貼近你在公民科技圈子做的事？,曾接觸者 N=101（從未接觸層未被問到這些題）,
106,第 2 章,寫明分母,36%（17/47）,17,47,落地,這個專案目前進行到哪個階段？（五類收合為四類）,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
106,第 2 章,寫明分母,28%（13/47）,13,47,維運,這個專案目前進行到哪個階段？（五類收合為四類）,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
106,第 2 章,寫明分母,23%（11/47）,11,47,早期（探索或開發中）,這個專案目前進行到哪個階段？（五類收合為四類）,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
106,第 2 章,寫明分母,13%（6/47）,6,47,停擺,這個專案目前進行到哪個階段？（五類收合為四類）,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
106,第 2 章,裸數字（人數）,47 人,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
108,第 2 章,裸數字（人數）,47 位,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
108,第 2 章,裸數字（人數）,7 人,7,,計數（分母寫在同段落的其他數字裡）,你最近參與的那個公民科技專案，是為了解決什麼問題？,曾參與者 N=47 全數填答（人工主題編碼，一筆可對應多主題）,
108,第 2 章,裸數字（人數）,6 人,6,,計數（分母寫在同段落的其他數字裡）,你最近參與的那個公民科技專案，是為了解決什麼問題？,曾參與者 N=47 全數填答（人工主題編碼，一筆可對應多主題）,
108,第 2 章,裸數字（人數）,5 人,5,,計數（分母寫在同段落的其他數字裡）,你最近參與的那個公民科技專案，是為了解決什麼問題？,曾參與者 N=47 全數填答（人工主題編碼，一筆可對應多主題）,
108,第 2 章,裸數字（人數）,4 人,4,,計數（分母寫在同段落的其他數字裡）,你最近參與的那個公民科技專案，是為了解決什麼問題？,曾參與者 N=47 全數填答（人工主題編碼，一筆可對應多主題）,
108,第 2 章,裸數字（人數）,3 人,3,,計數（分母寫在同段落的其他數字裡）,你最近參與的那個公民科技專案，是為了解決什麼問題？,曾參與者 N=47 全數填答（人工主題編碼，一筆可對應多主題）,
108,第 2 章,裸數字（人數）,2 人,2,,計數（分母寫在同段落的其他數字裡）,你最近參與的那個公民科技專案，是為了解決什麼問題？,曾參與者 N=47 全數填答（人工主題編碼，一筆可對應多主題）,
108,第 2 章,裸數字（人數）,2 人,2,,計數（分母寫在同段落的其他數字裡）,你最近參與的那個公民科技專案，是為了解決什麼問題？,曾參與者 N=47 全數填答（人工主題編碼，一筆可對應多主題）,
108,第 2 章,裸數字（人數）,15 人,15,,計數（分母寫在同段落的其他數字裡）,你最近參與的那個公民科技專案，是為了解決什麼問題？,曾參與者 N=47 全數填答（人工主題編碼，一筆可對應多主題）,
108,第 2 章,裸數字（人數）,4 人,4,,計數（分母寫在同段落的其他數字裡）,你最近參與的那個公民科技專案，是為了解決什麼問題？,曾參與者 N=47 全數填答（人工主題編碼，一筆可對應多主題）,
108,第 2 章,裸數字（人數）,4 人,4,,計數（分母寫在同段落的其他數字裡）,你最近參與的那個公民科技專案，是為了解決什麼問題？,曾參與者 N=47 全數填答（人工主題編碼，一筆可對應多主題）,
108,第 2 章,裸數字（人數）,5 人,5,,計數（分母寫在同段落的其他數字裡）,你最近參與的那個公民科技專案，是為了解決什麼問題？,曾參與者 N=47 全數填答（人工主題編碼，一筆可對應多主題）,
108,第 2 章,裸數字（人數）,2 人,2,,計數（分母寫在同段落的其他數字裡）,你最近參與的那個公民科技專案，是為了解決什麼問題？,曾參與者 N=47 全數填答（人工主題編碼，一筆可對應多主題）,
108,第 2 章,裸數字（其他量詞）,11 類,,,計數或題目設計說明,你最近參與的那個公民科技專案，是為了解決什麼問題？,曾參與者 N=47 全數填答（人工主題編碼，一筆可對應多主題）,
108,第 2 章,裸數字（百分比）,15%,,,比例（分母寫在同段落的其他數字裡）,你最近參與的那個公民科技專案，是為了解決什麼問題？,曾參與者 N=47 全數填答（人工主題編碼，一筆可對應多主題）,
108,第 2 章,裸數字（百分比）,13%,,,比例（分母寫在同段落的其他數字裡）,你最近參與的那個公民科技專案，是為了解決什麼問題？,曾參與者 N=47 全數填答（人工主題編碼，一筆可對應多主題）,
108,第 2 章,裸數字（百分比）,11%,,,比例（分母寫在同段落的其他數字裡）,你最近參與的那個公民科技專案，是為了解決什麼問題？,曾參與者 N=47 全數填答（人工主題編碼，一筆可對應多主題）,
108,第 2 章,裸數字（百分比）,9%,,,比例（分母寫在同段落的其他數字裡）,你最近參與的那個公民科技專案，是為了解決什麼問題？,曾參與者 N=47 全數填答（人工主題編碼，一筆可對應多主題）,
118,第 3 章,裸數字（人數）,47 位,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
124,第 3 章,裸數字（其他量詞）,13 題,,,計數或題目設計說明,下面這些困難，各自對你造成多大的困擾？[…],題目設計說明：13 個題項每項都是 1–5 強制作答，不是統計結果,
128,第 3 章,寫明分母,38%（18/47）,18,47,專案難有穩定進度，容易停滯,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
128,第 3 章,寫明分母,13%（6/47）,6,47,專案難有穩定進度，容易停滯,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
129,第 3 章,寫明分母,36%（17/47）,17,47,做出來的成果（工具、服務）很難真正發揮影響力,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
129,第 3 章,寫明分母,13%（6/47）,6,47,做出來的成果（工具、服務）很難真正發揮影響力,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
130,第 3 章,寫明分母,32%（15/47）,15,47,核心成員累垮，常常一個人撐住整個專案,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
130,第 3 章,寫明分母,13%（6/47）,6,47,核心成員累垮，常常一個人撐住整個專案,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
131,第 3 章,寫明分母,23%（11/47）,11,47,找不到願意一起做的夥伴,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
131,第 3 章,寫明分母,9%（4/47）,4,47,找不到願意一起做的夥伴,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
132,第 3 章,寫明分母,19%（9/47）,9,47,公務員不信任你、不願給你需要的資訊,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
132,第 3 章,寫明分母,9%（4/47）,4,47,公務員不信任你、不願給你需要的資訊,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
133,第 3 章,寫明分母,17%（8/47）,8,47,專案要改變方向、或要對外代表時，不確定誰有權責拍板,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
133,第 3 章,寫明分母,0%（0/47）,0,47,專案要改變方向、或要對外代表時，不確定誰有權責拍板,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
134,第 3 章,寫明分母,15%（7/47）,7,47,參與者突然消失，留下大量未完成任務,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
134,第 3 章,寫明分母,2%（1/47）,1,47,參與者突然消失，留下大量未完成任務,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
135,第 3 章,寫明分母,15%（7/47）,7,47,找不到對接的政府窗口、發訊息沒人理,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
135,第 3 章,寫明分母,4%（2/47）,2,47,找不到對接的政府窗口、發訊息沒人理,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
136,第 3 章,寫明分母,13%（6/47）,6,47,抓不準專案到底要解決什麼問題,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
136,第 3 章,寫明分母,4%（2/47）,2,47,抓不準專案到底要解決什麼問題,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
137,第 3 章,寫明分母,13%（6/47）,6,47,專案缺少文件或交接，人一走、知識就斷了,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
137,第 3 章,寫明分母,4%（2/47）,2,47,專案缺少文件或交接，人一走、知識就斷了,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
138,第 3 章,寫明分母,13%（6/47）,6,47,想要的資料拿不到、不知道去哪要,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
138,第 3 章,寫明分母,9%（4/47）,4,47,想要的資料拿不到、不知道去哪要,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
139,第 3 章,寫明分母,11%（5/47）,5,47,新手或不會寫程式的人，不知道能幫什麼,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
139,第 3 章,寫明分母,4%（2/47）,2,47,新手或不會寫程式的人，不知道能幫什麼,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
140,第 3 章,寫明分母,6%（3/47）,3,47,拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
140,第 3 章,寫明分母,0%（0/47）,0,47,拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
146,第 3 章,寫明分母,13%（6/47）,6,47,專案難有穩定進度，容易停滯,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
146,第 3 章,裸數字（人數）,6 個人,6,,計數（分母寫在同段落的其他數字裡）,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,
150,第 3.1 節,寫明分母,40%（2/5）,2,5,接收資訊／找不到願意一起做的夥伴（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=接收資訊,L1（僅供參考）
150,第 3.1 節,寫明分母,33%（2/6）,2,6,主動通報／新手或不會寫程式的人，不知道能幫什麼（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=主動通報,L1（僅供參考）
150,第 3.1 節,寫明分母,25%（2/8）,2,8,協力參與／找不到願意一起做的夥伴（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=協力參與,L1（僅供參考）
150,第 3.1 節,寫明分母,44%（8/18）,8,18,共創解法／專案難有穩定進度，容易停滯（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法,L1（僅供參考）
150,第 3.1 節,寫明分母,40%（4/10）,4,10,發起專案／專案難有穩定進度，容易停滯（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案,L1（僅供參考）
150,第 3.1 節,裸數字（人數）,47 人,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
