分群,選項,分子,分母_作答人數,群人數,群內比例,全體比例,lift,lift留空原因,該群平均角色廣度,信賴度,決策可用性,讀法說明
落地推廣,想認識新朋友、找到同好,10,36,36,0.2778,0.2766,1.0,,3.47,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
落地推廣,身邊有人在做，我就跟著加入,10,36,36,0.2778,0.2553,1.09,,3.47,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
落地推廣,累積作品集，練功或建立好名聲,5,36,36,0.1389,0.1277,1.09,,3.47,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
落地推廣,其他（自由填答）,1,36,36,0.0278,0.0213,,分子<5，lift 為雜訊,3.47,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
開發維護,我很認同這件事想達成的目標,27,33,33,0.8182,0.8298,0.99,,3.85,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
開發維護,我認同這個社群，想成為其中一員,17,33,33,0.5152,0.4255,1.21,,3.85,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
開發維護,純粹覺得好玩、有趣,12,33,33,0.3636,0.3404,1.07,,3.85,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
開發維護,想認識新朋友、找到同好,10,33,33,0.303,0.2766,1.1,,3.85,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
開發維護,身邊有人在做，我就跟著加入,9,33,33,0.2727,0.2553,1.07,,3.85,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
開發維護,累積作品集，練功或建立好名聲,6,33,33,0.1818,0.1277,1.42,,3.85,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
開發維護,其他（自由填答）,1,33,33,0.0303,0.0213,,分子<5，lift 為雜訊,3.85,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
發起者,我很認同這件事想達成的目標,23,27,27,0.8519,0.8298,1.03,,3.85,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
發起者,我認同這個社群，想成為其中一員,16,27,27,0.5926,0.4255,1.39,,3.85,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
發起者,純粹覺得好玩、有趣,9,27,27,0.3333,0.3404,0.98,,3.85,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
發起者,想認識新朋友、找到同好,10,27,27,0.3704,0.2766,1.34,,3.85,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
發起者,身邊有人在做，我就跟著加入,2,27,27,0.0741,0.2553,,分子<5，lift 為雜訊,3.85,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
發起者,累積作品集，練功或建立好名聲,5,27,27,0.1852,0.1277,1.45,,3.85,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
發起者,其他（自由填答）,1,27,27,0.037,0.0213,,分子<5，lift 為雜訊,3.85,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
出資者,我很認同這件事想達成的目標,15,16,16,0.9375,0.8298,1.13,,4.56,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
出資者,我認同這個社群，想成為其中一員,8,16,16,0.5,0.4255,1.18,,4.56,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
出資者,純粹覺得好玩、有趣,6,16,16,0.375,0.3404,1.1,,4.56,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
出資者,想認識新朋友、找到同好,4,16,16,0.25,0.2766,,分子<5，lift 為雜訊,4.56,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
出資者,身邊有人在做，我就跟著加入,3,16,16,0.1875,0.2553,,分子<5，lift 為雜訊,4.56,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
出資者,累積作品集，練功或建立好名聲,2,16,16,0.125,0.1277,,分子<5，lift 為雜訊,4.56,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
出資者,其他（自由填答）,0,16,16,0.0,0.0213,,分子<5，lift 為雜訊,4.56,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
