勾了A,也勾了B,分子,分母_勾了A的人數,在勾A的人當中也勾B的比例,信賴度,決策可用性,讀法說明
發起者,使用者,23,28,0.8214,L1（僅供參考）,僅供參考,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
發起者,落地推廣,20,28,0.7143,L1（僅供參考）,僅供參考,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
發起者,開發維護,23,28,0.8214,L1（僅供參考）,僅供參考,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
發起者,發起者,28,28,1.0,L1（僅供參考）,僅供參考,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
發起者,出資者,13,28,0.4643,L1（僅供參考）,僅供參考,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
出資者,使用者,17,17,1.0,L1（僅供參考）,僅供參考,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
出資者,落地推廣,14,17,0.8235,L1（僅供參考）,僅供參考,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
出資者,開發維護,15,17,0.8824,L1（僅供參考）,僅供參考,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
出資者,發起者,13,17,0.7647,L1（僅供參考）,僅供參考,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
出資者,出資者,17,17,1.0,L1（僅供參考）,僅供參考,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
