報告位置（整合版）,報告位置（v1 舊報告）,項目,數字,分子,分母,驗算式,來源欄位／表,篩選條件,信賴度
第 2 章,§3 最深角色,落地推廣,16.8%,17,101,17/101,你曾經在公民科技專案裡，擔任過哪些角色？（取此人勾過的最深一階）,曾接觸者 N=101（從未接觸層未被問到這些題）,L3
第 2 章,§3 最深角色,發起者,14.9%,15,101,15/101,你曾經在公民科技專案裡，擔任過哪些角色？（取此人勾過的最深一階）,曾接觸者 N=101（從未接觸層未被問到這些題）,L3
第 2 章,§3 最深角色,開發維護,7.9%,8,101,8/101,你曾經在公民科技專案裡，擔任過哪些角色？（取此人勾過的最深一階）,曾接觸者 N=101（從未接觸層未被問到這些題）,L3
第 2 章,§3 參與深度,接收資訊,40.6%,41,101,41/101,下面哪一句，最貼近你在公民科技圈子做的事？,曾接觸者 N=101（從未接觸層未被問到這些題）,L3
第 2 章,§3 參與深度,主動通報,12.9%,13,101,13/101,下面哪一句，最貼近你在公民科技圈子做的事？,曾接觸者 N=101（從未接觸層未被問到這些題）,L3
第 2 章,§3 參與深度,協力參與,10.9%,11,101,11/101,下面哪一句，最貼近你在公民科技圈子做的事？,曾接觸者 N=101（從未接觸層未被問到這些題）,L3
第 2 章,§3 參與深度,共創解法,19.8%,20,101,20/101,下面哪一句，最貼近你在公民科技圈子做的事？,曾接觸者 N=101（從未接觸層未被問到這些題）,L3
第 2 章,§3 參與深度,發起專案,9.9%,10,101,10/101,下面哪一句，最貼近你在公民科技圈子做的事？,曾接觸者 N=101（從未接觸層未被問到這些題）,L3
第 2 章,§3 參與深度,以上都不太像我,5.9%,6,101,6/101,下面哪一句，最貼近你在公民科技圈子做的事？,曾接觸者 N=101（從未接觸層未被問到這些題）｜獨立類別，未給權重,L3
第 3.2 節,§3 決策位置,執行協力者,68.4%,65,95,65/95,下面哪一句，最貼近你在公民科技圈子做的事？（五級收合為兩類）,曾接觸者中參與深度落在五級軸上的 95 人（不含「以上都不太像我」6 人）,L3
第 3.2 節,§3 決策位置,方向決策者,31.6%,30,95,30/95,下面哪一句，最貼近你在公民科技圈子做的事？（五級收合為兩類）,曾接觸者中參與深度落在五級軸上的 95 人（不含「以上都不太像我」6 人）,L3
第 5.2 節,§3 投入強度（過去30天）,1 到 5 小時,31.9%,15,47,15/47,過去 30 天，你大約花了多少時間在這個專案？,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
第 5.2 節,§3 投入強度（過去30天）,6 到 20 小時,23.4%,11,47,11/47,過去 30 天，你大約花了多少時間在這個專案？,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
第 5.2 節,§3 投入強度（過去30天）,幾乎沒有,23.4%,11,47,11/47,過去 30 天，你大約花了多少時間在這個專案？,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
第 5.2 節,§3 投入強度（過去30天）,21 小時以上,21.3%,10,47,10/47,過去 30 天，你大約花了多少時間在這個專案？,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
第 2 章,§3 專案階段（合併）,早期（探索或開發中）,23.4%,11,47,11/47,這個專案目前進行到哪個階段？（五類收合為四類）,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
第 2 章,§3 專案階段（合併）,落地,36.2%,17,47,17/47,這個專案目前進行到哪個階段？（五類收合為四類）,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
第 2 章,§3 專案階段（合併）,維運,27.7%,13,47,13/47,這個專案目前進行到哪個階段？（五類收合為四類）,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
第 2 章,§3 專案階段（合併）,停擺,12.8%,6,47,6/47,這個專案目前進行到哪個階段？（五類收合為四類）,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
開頭四個發現之一,§3 同時進行專案數,0 個，目前沒有投入的專案,31.9%,15,47,15/47,你現在手上同時在進行幾個公民科技專案？,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
開頭四個發現之一,§3 同時進行專案數,1 到 3 個,55.3%,26,47,26/47,你現在手上同時在進行幾個公民科技專案？,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
開頭四個發現之一,§3 同時進行專案數,4 個以上,12.8%,6,47,6/47,你現在手上同時在進行幾個公民科技專案？,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
第 4 章,§3 年齡,31 到 40 歲,35.4%,45,127,45/127,你的年齡？,全體 N=127,L2
第 4 章,§3 年齡,41 到 50 歲,29.1%,37,127,37/127,你的年齡？,全體 N=127,L2
第 4 章,§3 年齡,21 到 30 歲,17.3%,22,127,22/127,你的年齡？,全體 N=127,L2
第 4 章,§3 年齡,51 歲以上,12.6%,16,127,16/127,你的年齡？,全體 N=127,L2
第 4 章,§3 年齡,20 歲以下,5.5%,7,127,7/127,你的年齡？,全體 N=127,L2
第 3 章,§4.1 困擾 %≥3,抓不準專案到底要解決什麼問題,12.8%,6,47,6/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
第 3 章,§4.1 困擾 %≥4,抓不準專案到底要解決什麼問題,4.3%,2,47,2/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
第 3 章,§4.1 困擾 %≥3,找不到願意一起做的夥伴,23.4%,11,47,11/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
第 3 章,§4.1 困擾 %≥4,找不到願意一起做的夥伴,8.5%,4,47,4/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
第 3 章,§4.1 困擾 %≥3,新手或不會寫程式的人，不知道能幫什麼,10.6%,5,47,5/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
第 3 章,§4.1 困擾 %≥4,新手或不會寫程式的人，不知道能幫什麼,4.3%,2,47,2/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
第 3 章,§4.1 困擾 %≥3,參與者突然消失，留下大量未完成任務,14.9%,7,47,7/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
第 3 章,§4.1 困擾 %≥4,參與者突然消失，留下大量未完成任務,2.1%,1,47,1/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
第 3 章,§4.1 困擾 %≥3,專案缺少文件或交接，人一走、知識就斷了,12.8%,6,47,6/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
第 3 章,§4.1 困擾 %≥4,專案缺少文件或交接，人一走、知識就斷了,4.3%,2,47,2/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
第 3 章,§4.1 困擾 %≥3,核心成員累垮，常常一個人撐住整個專案,31.9%,15,47,15/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
第 3 章,§4.1 困擾 %≥4,核心成員累垮，常常一個人撐住整個專案,12.8%,6,47,6/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
第 3 章,§4.1 困擾 %≥3,專案難有穩定進度，容易停滯,38.3%,18,47,18/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
第 3 章,§4.1 困擾 %≥4,專案難有穩定進度，容易停滯,12.8%,6,47,6/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
第 3 章,§4.1 困擾 %≥3,拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱,6.4%,3,47,3/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
第 3 章,§4.1 困擾 %≥4,拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱,0.0%,0,47,0/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
第 3 章,§4.1 困擾 %≥3,專案要改變方向、或要對外代表時，不確定誰有權責拍板,17.0%,8,47,8/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
第 3 章,§4.1 困擾 %≥4,專案要改變方向、或要對外代表時，不確定誰有權責拍板,0.0%,0,47,0/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
第 3 章,§4.1 困擾 %≥3,找不到對接的政府窗口、發訊息沒人理,14.9%,7,47,7/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
第 3 章,§4.1 困擾 %≥4,找不到對接的政府窗口、發訊息沒人理,4.3%,2,47,2/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
第 3 章,§4.1 困擾 %≥3,公務員不信任你、不願給你需要的資訊,19.1%,9,47,9/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
第 3 章,§4.1 困擾 %≥4,公務員不信任你、不願給你需要的資訊,8.5%,4,47,4/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
第 3 章,§4.1 困擾 %≥3,想要的資料拿不到、不知道去哪要,12.8%,6,47,6/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
第 3 章,§4.1 困擾 %≥4,想要的資料拿不到、不知道去哪要,8.5%,4,47,4/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
第 3 章,§4.1 困擾 %≥3,做出來的成果（工具、服務）很難真正發揮影響力,36.2%,17,47,17/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
第 3 章,§4.1 困擾 %≥4,做出來的成果（工具、服務）很難真正發揮影響力,12.8%,6,47,6/47,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥4,L2
第 3.2 節,§4.2 困擾×決策位置,方向決策者／抓不準專案到底要解決什麼問題,10.7%,3,28,3/28,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=方向決策者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,方向決策者／找不到願意一起做的夥伴,21.4%,6,28,6/28,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=方向決策者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,方向決策者／新手或不會寫程式的人，不知道能幫什麼,3.6%,1,28,1/28,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=方向決策者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,方向決策者／參與者突然消失，留下大量未完成任務,17.9%,5,28,5/28,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=方向決策者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,方向決策者／專案缺少文件或交接，人一走、知識就斷了,10.7%,3,28,3/28,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=方向決策者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,方向決策者／核心成員累垮，常常一個人撐住整個專案,42.9%,12,28,12/28,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=方向決策者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,方向決策者／專案難有穩定進度，容易停滯,42.9%,12,28,12/28,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=方向決策者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,方向決策者／拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱,7.1%,2,28,2/28,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=方向決策者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,方向決策者／專案要改變方向、或要對外代表時，不確定誰有權責拍板,17.9%,5,28,5/28,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=方向決策者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,方向決策者／找不到對接的政府窗口、發訊息沒人理,14.3%,4,28,4/28,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=方向決策者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,方向決策者／公務員不信任你、不願給你需要的資訊,17.9%,5,28,5/28,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=方向決策者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,方向決策者／想要的資料拿不到、不知道去哪要,14.3%,4,28,4/28,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=方向決策者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,方向決策者／做出來的成果（工具、服務）很難真正發揮影響力,46.4%,13,28,13/28,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=方向決策者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,執行協力者／抓不準專案到底要解決什麼問題,15.8%,3,19,3/19,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=執行協力者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,執行協力者／找不到願意一起做的夥伴,26.3%,5,19,5/19,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=執行協力者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,執行協力者／新手或不會寫程式的人，不知道能幫什麼,21.1%,4,19,4/19,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=執行協力者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,執行協力者／參與者突然消失，留下大量未完成任務,10.5%,2,19,2/19,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=執行協力者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,執行協力者／專案缺少文件或交接，人一走、知識就斷了,15.8%,3,19,3/19,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=執行協力者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,執行協力者／核心成員累垮，常常一個人撐住整個專案,15.8%,3,19,3/19,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=執行協力者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,執行協力者／專案難有穩定進度，容易停滯,31.6%,6,19,6/19,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=執行協力者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,執行協力者／拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱,5.3%,1,19,1/19,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=執行協力者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,執行協力者／專案要改變方向、或要對外代表時，不確定誰有權責拍板,15.8%,3,19,3/19,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=執行協力者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,執行協力者／找不到對接的政府窗口、發訊息沒人理,15.8%,3,19,3/19,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=執行協力者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,執行協力者／公務員不信任你、不願給你需要的資訊,21.1%,4,19,4/19,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=執行協力者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,執行協力者／想要的資料拿不到、不知道去哪要,10.5%,2,19,2/19,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=執行協力者,L1（僅供參考）
第 3.2 節,§4.2 困擾×決策位置,執行協力者／做出來的成果（工具、服務）很難真正發揮影響力,21.1%,4,19,4/19,下面這些困難，各自對你造成多大的困擾？[…],曾參與且決策位置=執行協力者,L1（僅供參考）
第 4 章,§5.1 初次動機,我很認同這件事想達成的目標,83.0%,39,47,39/47,你第一次投入公民科技專案時的契機是？,曾參與 N=47,L2
第 4 章,§5.1 持續動機,我很認同這件事想達成的目標,83.0%,39,47,39/47,那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47,L2
第 4 章,§5.1 留存／流失／新增,我很認同這件事想達成的目標,留存 36／流失 3／新增 3,36,39,留存36+流失3=39（初次）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,同一批曾參與者 N=47 配對比較,L2
第 4 章,§5.1 初次動機,我認同這個社群，想成為其中一員,42.6%,20,47,20/47,你第一次投入公民科技專案時的契機是？,曾參與 N=47,L2
第 4 章,§5.1 持續動機,我認同這個社群，想成為其中一員,36.2%,17,47,17/47,那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47,L2
第 4 章,§5.1 留存／流失／新增,我認同這個社群，想成為其中一員,留存 14／流失 6／新增 3,14,20,留存14+流失6=20（初次）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,同一批曾參與者 N=47 配對比較,L2
第 4 章,§5.1 初次動機,純粹覺得好玩、有趣,34.0%,16,47,16/47,你第一次投入公民科技專案時的契機是？,曾參與 N=47,L2
第 4 章,§5.1 持續動機,純粹覺得好玩、有趣,31.9%,15,47,15/47,那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47,L2
第 4 章,§5.1 留存／流失／新增,純粹覺得好玩、有趣,留存 13／流失 3／新增 2,13,16,留存13+流失3=16（初次）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,同一批曾參與者 N=47 配對比較,L2
第 4 章,§5.1 初次動機,想認識新朋友、找到同好,27.7%,13,47,13/47,你第一次投入公民科技專案時的契機是？,曾參與 N=47,L2
第 4 章,§5.1 持續動機,想認識新朋友、找到同好,31.9%,15,47,15/47,那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47,L2
第 4 章,§5.1 留存／流失／新增,想認識新朋友、找到同好,留存 12／流失 1／新增 3,12,13,留存12+流失1=13（初次）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,同一批曾參與者 N=47 配對比較,L2
第 4 章,§5.1 初次動機,身邊有人在做，我就跟著加入,25.5%,12,47,12/47,你第一次投入公民科技專案時的契機是？,曾參與 N=47,L2
第 4 章,§5.1 持續動機,身邊有人在做，我就跟著加入,25.5%,12,47,12/47,那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47,L2
第 4 章,§5.1 留存／流失／新增,身邊有人在做，我就跟著加入,留存 8／流失 4／新增 4,8,12,留存8+流失4=12（初次）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,同一批曾參與者 N=47 配對比較,L2
第 4 章,§5.1 初次動機,累積作品集，練功或建立好名聲,12.8%,6,47,6/47,你第一次投入公民科技專案時的契機是？,曾參與 N=47,L2
第 4 章,§5.1 持續動機,累積作品集，練功或建立好名聲,19.1%,9,47,9/47,那現在讓你留下來繼續做的，又是什麼？,曾參與 N=47,L2
第 4 章,§5.1 留存／流失／新增,累積作品集，練功或建立好名聲,留存 5／流失 1／新增 4,5,6,留存5+流失1=6（初次）,你第一次投入公民科技專案時的契機是？ × 那現在讓你留下來繼續做的，又是什麼？,同一批曾參與者 N=47 配對比較,L2
第 4 章,§5.2 年齡×持續動機 lift,30 歲以下／我很認同這件事想達成的目標,lift 0.96,8,10,(8/10) ÷ 0.8298 = 0.96,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=30 歲以下（年齡收合 3 層）,L1（僅供產生假設）
第 4 章,§5.2 年齡×持續動機 lift,30 歲以下／我認同這個社群，想成為其中一員,lift 1.38,5,10,(5/10) ÷ 0.3617 = 1.38,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=30 歲以下（年齡收合 3 層）,L1（僅供產生假設）
第 4 章,§5.2 年齡×持續動機 lift,30 歲以下／純粹覺得好玩、有趣,lift 1.57,5,10,(5/10) ÷ 0.3191 = 1.57,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=30 歲以下（年齡收合 3 層）,L1（僅供產生假設）
第 4 章,§5.2 年齡×持續動機 lift,30 歲以下／想認識新朋友、找到同好,lift 未計算（勾選人數少於 5 人，倍數會被一兩個人左右）,4,10,(4/10) ÷ 0.3191＝未計算,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=30 歲以下（年齡收合 3 層）,L1（僅供產生假設）
第 4 章,§5.2 年齡×持續動機 lift,30 歲以下／身邊有人在做，我就跟著加入,lift 未計算（勾選人數少於 5 人，倍數會被一兩個人左右）,3,10,(3/10) ÷ 0.2553＝未計算,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=30 歲以下（年齡收合 3 層）,L1（僅供產生假設）
第 4 章,§5.2 年齡×持續動機 lift,30 歲以下／累積作品集，練功或建立好名聲,lift 未計算（勾選人數少於 5 人，倍數會被一兩個人左右）,4,10,(4/10) ÷ 0.1915＝未計算,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=30 歲以下（年齡收合 3 層）,L1（僅供產生假設）
第 4 章,§5.2 年齡×持續動機 lift,31 到 40 歲／我很認同這件事想達成的目標,lift 0.95,15,19,(15/19) ÷ 0.8298 = 0.95,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=31 到 40 歲（年齡收合 3 層）,L1（僅供產生假設）
第 4 章,§5.2 年齡×持續動機 lift,31 到 40 歲／我認同這個社群，想成為其中一員,lift 1.31,9,19,(9/19) ÷ 0.3617 = 1.31,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=31 到 40 歲（年齡收合 3 層）,L1（僅供產生假設）
第 4 章,§5.2 年齡×持續動機 lift,31 到 40 歲／純粹覺得好玩、有趣,lift 1.32,8,19,(8/19) ÷ 0.3191 = 1.32,那現在讓你留下來繼續做的，又是什麼？ × 你的年齡？,曾參與且年齡=31 到 40 歲（年齡收合 3 層）,L1（僅供產生假設）
