分群,困難,分母,群人數,達3以上_分子,達3以上比例,達4以上_分子,達4以上比例,平均分_次要,信賴度,平均分警語
協力參與,抓不準專案到底要解決什麼問題,8,8,1,0.125,1,0.125,1.75,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
協力參與,找不到願意一起做的夥伴,8,8,2,0.25,0,0.0,1.75,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
協力參與,新手或不會寫程式的人，不知道能幫什麼,8,8,1,0.125,1,0.125,1.75,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
協力參與,參與者突然消失，留下大量未完成任務,8,8,0,0.0,0,0.0,1.5,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
協力參與,專案缺少文件或交接，人一走、知識就斷了,8,8,1,0.125,0,0.0,1.75,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
協力參與,核心成員累垮，常常一個人撐住整個專案,8,8,1,0.125,1,0.125,2.12,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
協力參與,專案難有穩定進度，容易停滯,8,8,2,0.25,0,0.0,1.88,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
協力參與,拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱,8,8,1,0.125,0,0.0,1.62,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
協力參與,專案要改變方向、或要對外代表時，不確定誰有權責拍板,8,8,2,0.25,0,0.0,1.88,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
協力參與,找不到對接的政府窗口、發訊息沒人理,8,8,1,0.125,0,0.0,1.62,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
協力參與,公務員不信任你、不願給你需要的資訊,8,8,2,0.25,2,0.25,2.25,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
協力參與,想要的資料拿不到、不知道去哪要,8,8,2,0.25,1,0.125,2.0,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
協力參與,做出來的成果（工具、服務）很難真正發揮影響力,8,8,1,0.125,1,0.125,2.12,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
共創解法,抓不準專案到底要解決什麼問題,18,18,2,0.1111,0,0.0,1.44,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
共創解法,找不到願意一起做的夥伴,18,18,4,0.2222,2,0.1111,2.11,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
共創解法,新手或不會寫程式的人，不知道能幫什麼,18,18,0,0.0,0,0.0,1.44,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
共創解法,參與者突然消失，留下大量未完成任務,18,18,2,0.1111,1,0.0556,1.56,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
共創解法,專案缺少文件或交接，人一走、知識就斷了,18,18,1,0.0556,1,0.0556,1.61,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
共創解法,核心成員累垮，常常一個人撐住整個專案,18,18,6,0.3333,2,0.1111,2.11,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
共創解法,專案難有穩定進度，容易停滯,18,18,8,0.4444,3,0.1667,2.5,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
共創解法,拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱,18,18,1,0.0556,0,0.0,1.33,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
共創解法,專案要改變方向、或要對外代表時，不確定誰有權責拍板,18,18,2,0.1111,0,0.0,1.44,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
共創解法,找不到對接的政府窗口、發訊息沒人理,18,18,2,0.1111,0,0.0,1.56,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
共創解法,公務員不信任你、不願給你需要的資訊,18,18,2,0.1111,0,0.0,1.39,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
共創解法,想要的資料拿不到、不知道去哪要,18,18,1,0.0556,1,0.0556,1.39,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
共創解法,做出來的成果（工具、服務）很難真正發揮影響力,18,18,8,0.4444,3,0.1667,2.33,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
接收資訊,抓不準專案到底要解決什麼問題,5,5,1,0.2,0,0.0,1.8,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
接收資訊,找不到願意一起做的夥伴,5,5,2,0.4,1,0.2,2.2,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
接收資訊,新手或不會寫程式的人，不知道能幫什麼,5,5,1,0.2,0,0.0,1.8,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
接收資訊,參與者突然消失，留下大量未完成任務,5,5,1,0.2,0,0.0,1.8,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
接收資訊,專案缺少文件或交接，人一走、知識就斷了,5,5,2,0.4,1,0.2,2.2,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
接收資訊,核心成員累垮，常常一個人撐住整個專案,5,5,2,0.4,1,0.2,2.4,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
接收資訊,專案難有穩定進度，容易停滯,5,5,2,0.4,1,0.2,2.6,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
接收資訊,拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱,5,5,0,0.0,0,0.0,1.4,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
接收資訊,專案要改變方向、或要對外代表時，不確定誰有權責拍板,5,5,1,0.2,0,0.0,1.6,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
接收資訊,找不到對接的政府窗口、發訊息沒人理,5,5,1,0.2,0,0.0,1.6,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
接收資訊,公務員不信任你、不願給你需要的資訊,5,5,1,0.2,1,0.2,1.8,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
接收資訊,想要的資料拿不到、不知道去哪要,5,5,0,0.0,0,0.0,1.4,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
接收資訊,做出來的成果（工具、服務）很難真正發揮影響力,5,5,1,0.2,0,0.0,1.8,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
主動通報,抓不準專案到底要解決什麼問題,6,6,1,0.1667,0,0.0,1.67,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
主動通報,找不到願意一起做的夥伴,6,6,1,0.1667,0,0.0,1.83,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
主動通報,新手或不會寫程式的人，不知道能幫什麼,6,6,2,0.3333,1,0.1667,2.17,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
主動通報,參與者突然消失，留下大量未完成任務,6,6,1,0.1667,0,0.0,1.67,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
主動通報,專案缺少文件或交接，人一走、知識就斷了,6,6,0,0.0,0,0.0,1.0,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
主動通報,核心成員累垮，常常一個人撐住整個專案,6,6,0,0.0,0,0.0,1.33,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
主動通報,專案難有穩定進度，容易停滯,6,6,2,0.3333,0,0.0,2.0,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
主動通報,拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱,6,6,0,0.0,0,0.0,1.17,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
主動通報,專案要改變方向、或要對外代表時，不確定誰有權責拍板,6,6,0,0.0,0,0.0,1.17,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
主動通報,找不到對接的政府窗口、發訊息沒人理,6,6,1,0.1667,0,0.0,1.33,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
主動通報,公務員不信任你、不願給你需要的資訊,6,6,1,0.1667,0,0.0,1.67,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
主動通報,想要的資料拿不到、不知道去哪要,6,6,0,0.0,0,0.0,1.67,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
主動通報,做出來的成果（工具、服務）很難真正發揮影響力,6,6,2,0.3333,0,0.0,1.83,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
